nome,partido,email,telefone,twitter,facebook,foto
Airto Ferronato,PSB,ferronato@camarapoa.rs.gov.br, 3320-4221 | 3320-4222 | 3320-4223,@AirtoFerronato,https://www.facebook.com/airtoferronato,fotos_01_airtoferronato.jpg
Alberto Kopittke,PT,albertokopittke@camarapoa.rs.gov.br,3320-4257 | 3320-4258 | 3320-4259,@albertolk,https://www.facebook.com/albertokopittke,fotos_02_albertokopittke.jpg
Alceu Brasinha,PTB,brasinha@camarapoa.rs.gov.br,3320-4236 | 3320-4237 | 3320-4238,@brasinhaptbrs,https://www.facebook.com/VereadorBrasinha?filter=3,fotos_03_alceubrasinha.jpg
Any Ortiz,PPS,anyortiz@camarapoa.rs.gov.br,3320-4233 | 3320-4234 | 3320-4235,@anyortiz,https://www.facebook.com/vereadoraanyortiz,fotos_04_anyortiz.jpg
Bernardino Vendruscolo,PSD,bernardino@camarapoa.rs.gov.br,3320-4296 - 3320-4297 - 3320-4298,,https://www.facebook.com/bernardinovendruscolo,fotos_05_bernardinovendruscolo.jpg
Cassio Trogildo,PTB,cassiotrogildo@camarapoa.rs.gov.br,3320-4206 | 3320-4207 | 3320-4208,,https://www.facebook.com/Vereador.Cassio.Trogildo,fotos_06_cassiotrogildo.jpg
Clàudio Janta,PDT,claudiojanta@camarapoa.rs.gov.br,3320-4245 | 3320-4246 | 3320-4247,@ClaudioJanta,https://www.facebook.com/claudiojantasindicalistavereador,fotos_07_claudiojanta.jpg
Delegado Cleiton,PDT,delegadocleiton@camarapoa.rs.gov.br,3320-4203 | 3320-4204 | 3320-4205,@delegadocleiton,https://www.facebook.com/vereadordelegadocleiton,fotos_08_delegadocleiton.jpg
Dr. Thiago,PDT,drthiagoduarte@camarapoa.rs.gov.br,3320-4305 | 3320-4306 | 3320-4307,@drthiagoduarte,https://www.facebook.com/drthiagoduarte,fotos_09_drthiagoduarte.jpg
Elizandro Sabino,PTB,elizandrosabino@camarapoa.rs.gov.br,3320-4215 | 3320-4216 | 3320-4217,@ElizandroSabino,https://www.facebook.com/elizandro.sabino,fotos_11_elizandrosabino.jpg
Engº Comassetto,PT,comassetto@camarapoa.rs.gov.br,3320-4269 | 3320-4270 | 3320-4271,@comassettopt,https://www.facebook.com/vereadorcomassetto,fotos_10_engenheirocomassetto.jpg
Fernanda Melchionna,PSOL,vereadorafernanda@camarapoa.rs.gov.br,3320-4302 | 3320-4303 | 3320-4304,@fernandapsol,https://www.facebook.com/fernanda.melchionna,fotos_12_fernandamelchionna.jpg
Guilherme Socias Villela,PP,villela@camarapoa.rs.gov.br,3320-4200 | 3320-4201 | 3320-4202,@VillelaVereador,https://www.facebook.com/VillelaVereador,fotos_13_guilhermesociasvillela.jpg
Idenir Cecchim,PMDB,idenircecchim@camarapoa.rs.gov.br,3320-4281 | 3320-4282 | 3320-4283,@idenircecchim,https://www.facebook.com/idenircecchimII,fotos_14_idenircecchim.jpg
João Carlos Nedel,PP,joaocnedel@camarapoa.rs.gov.br,3320-4212 | 3320-213 | 3320-4214,,https://www.facebook.com/VereadorNedel,fotos_15_joaocarlosnedel.jpg
João Derly,PCdoB,joaoderly@camarapoa.rs.gov.br,3320-4230 | 3320-4231 | 3320-4232,@joaoderly,https://www.facebook.com/joao.derly,fotos_16_joaoderly.jpg
Jussara Cony,PCdoB,jussaracony@camarapoa.rs.gov.br,3320-4209 | 3320-4210 | 3320-4211,@jussaracony,https://www.facebook.com/vereadorajussaracony,fotos_17_jussaracony.jpg
Lourdes Sprenger,PMDB,lourdesvereadora@camarapoa.rs.gov.br,3320-4284 | 3320-4285 | 3320-4286,@lourdessprenger,https://www.facebook.com/lourdesvereadora,fotos_18_lourdessprenger.jpg
Luiza Neves,PDT,luizaneves@camarapoa.rs.gov.br,3320-4278,,https://www.facebook.com/luizanevesVEREADORA,fotos_19_luizaneves.jpg
Marcelo Sgarbossa,PT,marcelosgarbossa@camarapoa.rs.gov.br,3320-4254 | 3320-4255 | 3320-4256,@msgarbossars,https://www.facebook.com/marcelosgarbossa.rs?fref=ts,fotos_20_marcelosgarbossa.jpg
